cbs_code,description,cbs_level,phase,row_type,unit,qty,size_note,unit_cost_low,unit_cost_ml,unit_cost_high,total_low,total_ml,total_high,dur_low_days,dur_ml_days,dur_high_days,notes,sens_drivers,sens_rationale,inservice_year,gantt_index
C1.1.1,Planning & Project Management,3,Phase 1,INPUT,Months,18.0,18-month pre-build programme,4000.0,7000.0,11000.0,72000.0,126000.0,198000.0,90.0,150.0,240.0,"PM, planning consultant, architect prelims, programme coordination","LAB, REG",PM/architect day rates; planning delays extend fees,,2
C1.1.2,Surveys Site Investigations & Permits,3,Phase 1-2,INPUT,Item,1.0,"Topo, geo, ecology, planning application",35000.0,60000.0,95000.0,35000.0,60000.0,95000.0,30.0,60.0,90.0,"Topographic survey, ground investigation, ecology report, planning app fees, pre-app meetings","LAB, REG",Surveyor rates; ecological/planning conditions can add scope,,3
C1.2.1.1.1,Site Clearance & Levelling,5,Phase 3,INPUT,m²,1200.0,1200m² clearance,8.0,14.0,22.0,9600.0,16800.0,26400.0,5.0,8.0,14.0,"Strip topsoil, level site, vegetation removal","LAB, FUEL",Plant hire & haulage; rural Devon access costs,,23
C1.2.1.1.2,Excavation & Earthworks,5,Phase 3,INPUT,m³,1500.0,~1500m³ inc basement dig,28.0,42.0,65.0,42000.0,63000.0,97500.0,8.0,12.0,20.0,"Bulk excavation, basement dig, spoil removal (rural haulage premium)","MAT, LAB, FUEL","Concrete, rebar; excavation plant; spoil haulage — all volatile",,23
C1.2.1.1.3,Foundation Concrete & Reinforcement,5,Phase 3,INPUT,m²,800.0,800m² strip/raft,85.0,125.0,190.0,68000.0,100000.0,152000.0,10.0,15.0,25.0,"Concrete foundations, rebar, blinding, formwork","MAT, LAB",Concrete & rebar — steel price sensitive; formwork labour,,23
C1.2.1.1.4,Ground Floor Slab,5,Phase 3,INPUT,m²,800.0,800m² insulated slab,35.0,55.0,80.0,28000.0,44000.0,64000.0,5.0,8.0,14.0,Insulated concrete slab with UFH provision,"MAT, LAB",Concrete slab; insulation board — petrochemical derived,,23
C1.2.1.1.5,Damp Proof Course & Tanking,5,Phase 3,INPUT,m²,800.0,DPC + basement tanking 600m²,18.0,28.0,42.0,14400.0,22400.0,33600.0,3.0,5.0,8.0,"DPC throughout, full basement tanking system","MAT, LAB, SPEC",Tanking membranes; specialist tanking contractor,,23
C1.2.1.2,Superstructure Walls,4,Phase 3,INPUT,m²,800.0,External & loadbearing walls,220.0,320.0,480.0,176000.0,256000.0,384000.0,30.0,50.0,75.0,"Blockwork/stone clad external, loadbearing internals. Modern trad farmhouse.","MAT, LAB","Blockwork, stone cladding, mortar — all material cost sensitive",,24
C1.2.1.3,Roof Structure,4,Phase 3,INPUT,m²,900.0,Roof plan ~900m² inc overhangs,120.0,180.0,280.0,108000.0,162000.0,252000.0,25.0,40.0,60.0,"Timber roof structure, complex farmhouse pitches, SE input","MAT, LAB",Structural timber — highly volatile (2021 spike +40%); SE fees,,25
C1.2.1.4,External Envelope,4,Phase 3,INPUT,m²,900.0,Roof covering + external wall finish,95.0,145.0,220.0,85500.0,130500.0,198000.0,20.0,35.0,55.0,"Natural slate or clay tile, render/stone facade, windows, ext doors","MAT, LAB, FUEL",Natural slate/clay tile — quarried material; rural delivery,,26
C1.2.1.5,First Fix MEP,4,Phase 3,INPUT,m²,800.0,800m² GIA,75.0,115.0,175.0,60000.0,92000.0,140000.0,20.0,30.0,50.0,"First fix plumbing, heating pipework, electrical, data/AV cabling","MAT, LAB","Copper pipework, cable — copper price volatile; trade rates",,27
C1.2.1.6,Internal Walls & Partitions,4,Phase 3,INPUT,m²,600.0,~600m² partitions,45.0,70.0,110.0,27000.0,42000.0,66000.0,15.0,25.0,40.0,Timber stud and blockwork partitions throughout,"MAT, LAB","Blockwork, stud, board — material & trade rates",,28
C1.2.1.7,Plaster & Insulation,4,Phase 3,INPUT,m²,800.0,800m² GIA,40.0,60.0,90.0,32000.0,48000.0,72000.0,20.0,30.0,45.0,"Full insulation package, plastering throughout","MAT, LAB","Insulation board (petrochemical), plaster, mesh",,29
C1.2.1.8,Second Fix & Fixtures,4,Phase 3,INPUT,m²,800.0,800m² GIA,80.0,130.0,200.0,64000.0,104000.0,160000.0,25.0,40.0,60.0,"Second fix plumbing, electrical, sanitaryware, radiators/UFH","MAT, LAB, SPEC","Sanitaryware, radiators, second fix trades; high spec items",,30
